#nNodeR = 100 ,nNodeZ = 100
R Z Phi
1e-05 1e-05 3.72022e-70
3e-05 1e-05 3.52094e-70
5e-05 1e-05 3.15439e-70
7e-05 1e-05 2.67601e-70
9e-05 1e-05 2.15075e-70
0.00011 1e-05 1.63872e-70
0.00013 1e-05 1.18459e-70
0.00015 1e-05 8.13133e-71
0.00017 1e-05 5.30529e-71
0.00019 1e-05 3.29355e-71
0.00021 1e-05 1.94761e-71
0.00023 1e-05 1.0983e-71
0.00025 1e-05 5.91315e-72
0.00027 1e-05 3.04304e-72
0.00029 1e-05 1.49862e-72
0.00031 1e-05 7.07098e-73
0.00033 1e-05 3.20011e-73
0.00035 1e-05 1.39071e-73
0.00037 1e-05 5.80996e-74
0.00039 1e-05 2.3358e-74
0.00041 1e-05 9.04642e-75
0.00043 1e-05 3.37856e-75
0.00045 1e-05 1.21793e-75
0.00047 1e-05 4.24185e-76
0.00049 1e-05 1.42864e-76
0.00051 1e-05 4.65699e-77
0.00053 1e-05 1.4705e-77
0.00055 1e-05 4.50142e-78
0.00057 1e-05 1.3369e-78
0.00059 1e-05 3.85507e-79
0.00061 1e-05 1.0801e-79
0.00063 1e-05 2.94232e-80
0.00065 1e-05 7.79831e-81
0.00067 1e-05 2.01219e-81
0.00069 1e-05 5.0578e-82
0.00071 1e-05 1.23918e-82
0.00073 1e-05 2.96094e-83
0.00075 1e-05 6.90376e-84
0.00077 1e-05 1.57156e-84
0.00079 1e-05 3.49448e-85
0.00081 1e-05 7.59368e-86
0.00083 1e-05 1.6134e-86
0.00085 1e-05 3.35313e-87
0.00087 1e-05 6.81967e-88
0.00089 1e-05 1.35789e-88
0.00091 1e-05 2.64807e-89
0.00093 1e-05 5.05974e-90
0.00095 1e-05 9.47598e-91
0.00097 1e-05 1.74011e-91
0.00099 1e-05 3.13429e-92
0.00101 1e-05 5.53936e-93
0.00103 1e-05 9.60906e-94
0.00105 1e-05 1.6366e-94
0.00107 1e-05 2.73766e-95
0.00109 1e-05 4.49905e-96
0.00111 1e-05 7.26597e-97
0.00113 1e-05 1.15351e-97
0.00115 1e-05 1.80061e-98
0.00117 1e-05 2.76443e-99
0.00119 1e-05 4.17533e-100
0.00121 1e-05 6.20561e-101
0.00123 1e-05 9.07804e-102
0.00125 1e-05 1.30742e-102
0.00127 1e-05 1.85419e-103
0.00129 1e-05 2.59003e-104
0.00131 1e-05 3.56419e-105
0.00133 1e-05 4.833e-106
0.00135 1e-05 6.45891e-107
0.00137 1e-05 8.50895e-108
0.00139 1e-05 1.10523e-108
0.00141 1e-05 1.41569e-109
0.00143 1e-05 1.78857e-110
0.00145 1e-05 2.22917e-111
0.00147 1e-05 2.74129e-112
0.00149 1e-05 3.32674e-113
0.00151 1e-05 3.98479e-114
0.00153 1e-05 4.71178e-115
0.00155 1e-05 5.50082e-116
0.00157 1e-05 6.34163e-117
0.00159 1e-05 7.22054e-118
0.00161 1e-05 8.12082e-119
0.00163 1e-05 9.02305e-120
0.00165 1e-05 9.90585e-121
0.00167 1e-05 1.07467e-121
0.00169 1e-05 1.15229e-122
0.00171 1e-05 1.22127e-123
0.00173 1e-05 1.27962e-124
0.00175 1e-05 1.32562e-125
0.00177 1e-05 1.35796e-126
0.00179 1e-05 1.37572e-127
0.00181 1e-05 1.3785e-128
0.00183 1e-05 1.36636e-129
0.00185 1e-05 1.33985e-130
0.00187 1e-05 1.29994e-131
0.00189 1e-05 1.24801e-132
0.00191 1e-05 1.18574e-133
0.00193 1e-05 1.11501e-134
0.00195 1e-05 1.03784e-135
0.00197 1e-05 9.5701e-137
0.00199 1e-05 9.52037e-138
1e-05 3e-05 3.82989e-69
3e-05 3e-05 3.62472e-69
5e-05 3e-05 3.24732e-69
7e-05 3e-05 2.75478e-69
9e-05 3e-05 2.214e-69
0.00011 3e-05 1.68686e-69
0.00013 3e-05 1.21934e-69
0.00015 3e-05 8.36947e-70
0.00017 3e-05 5.46039e-70
0.00019 3e-05 3.38965e-70
0.00021 3e-05 2.00432e-70
0.00023 3e-05 1.13021e-70
0.00025 3e-05 6.08453e-71
0.00027 3e-05 3.13101e-71
0.00029 3e-05 1.54184e-71
0.00031 3e-05 7.27433e-72
0.00033 3e-05 3.29189e-72
0.00035 3e-05 1.43048e-72
0.00037 3e-05 5.97563e-73
0.00039 3e-05 2.40221e-73
0.00041 3e-05 9.30284e-74
0.00043 3e-05 3.47403e-74
0.00045 3e-05 1.25224e-74
0.00047 3e-05 4.36098e-75
0.00049 3e-05 1.46864e-75
0.00051 3e-05 4.78697e-76
0.00053 3e-05 1.51141e-76
0.00055 3e-05 4.62626e-77
0.00057 3e-05 1.37386e-77
0.00059 3e-05 3.96131e-78
0.00061 3e-05 1.10977e-78
0.00063 3e-05 3.0229e-79
0.00065 3e-05 8.01121e-80
0.00067 3e-05 2.06695e-80
0.00069 3e-05 5.19502e-81
0.00071 3e-05 1.27269e-81
0.00073 3e-05 3.04078e-82
0.00075 3e-05 7.08935e-83
0.00077 3e-05 1.61368e-83
0.00079 3e-05 3.58785e-84
0.00081 3e-05 7.79598e-85
0.00083 3e-05 1.65626e-85
0.00085 3e-05 3.44193e-86
0.00087 3e-05 6.99975e-87
0.00089 3e-05 1.39364e-87
0.00091 3e-05 2.71759e-88
0.00093 3e-05 5.19219e-89
0.00095 3e-05 9.72335e-90
0.00097 3e-05 1.78541e-90
0.00099 3e-05 3.21566e-91
0.00101 3e-05 5.68276e-92
0.00103 3e-05 9.85715e-93
0.00105 3e-05 1.67874e-93
0.00107 3e-05 2.80796e-94
0.00109 3e-05 4.61428e-95
0.00111 3e-05 7.45158e-96
0.00113 3e-05 1.1829e-96
0.00115 3e-05 1.84637e-97
0.00117 3e-05 2.8345e-98
0.00119 3e-05 4.28091e-99
0.00121 3e-05 6.36214e-100
0.00123 3e-05 9.30644e-101
0.00125 3e-05 1.34023e-101
0.00127 3e-05 1.90061e-102
0.00129 3e-05 2.65472e-103
0.00131 3e-05 3.65301e-104
0.00133 3e-05 4.95315e-105
0.00135 3e-05 6.61912e-106
0.00137 3e-05 8.71952e-107
0.00139 3e-05 1.13252e-107
0.00141 3e-05 1.45056e-108
0.00143 3e-05 1.83253e-109
0.00145 3e-05 2.28384e-110
0.00147 3e-05 2.80838e-111
0.00149 3e-05 3.40798e-112
0.00151 3e-05 4.08189e-113
0.00153 3e-05 4.82636e-114
0.00155 3e-05 5.63431e-115
0.00157 3e-05 6.4952e-116
0.00159 3e-05 7.39504e-117
0.00161 3e-05 8.31667e-118
0.00163 3e-05 9.24023e-119
0.00165 3e-05 1.01438e-119
0.00167 3e-05 1.10044e-120
0.00169 3e-05 1.17987e-121
0.00171 3e-05 1.25044e-122
0.00173 3e-05 1.31012e-123
0.00175 3e-05 1.35716e-124
0.00177 3e-05 1.3902e-125
0.00179 3e-05 1.40833e-126
0.00181 3e-05 1.41112e-127
0.00183 3e-05 1.39863e-128
0.00185 3e-05 1.37143e-129
0.00187 3e-05 1.33053e-130
0.00189 3e-05 1.27733e-131
0.00191 3e-05 1.21354e-132
0.00193 3e-05 1.14111e-133
0.00195 3e-05 1.0621e-134
0.00197 3e-05 9.79336e-136
0.00199 3e-05 9.74207e-137
1e-05 5e-05 4.24363e-68
3e-05 5e-05 4.01626e-68
5e-05 5e-05 3.59804e-68
7e-05 5e-05 3.05225e-68
9e-05 5e-05 2.45301e-68
0.00011 5e-05 1.8689e-68
0.00013 5e-05 1.35088e-68
0.00015 5e-05 9.27195e-69
0.00017 5e-05 6.04889e-69
0.00019 5e-05 3.75477e-69
0.00021 5e-05 2.2201e-69
0.00023 5e-05 1.2518e-69
0.00025 5e-05 6.73873e-70
0.00027 5e-05 3.46742e-70
0.00029 5e-05 1.70738e-70
0.00031 5e-05 8.05478e-71
0.00033 5e-05 3.6448e-71
0.00035 5e-05 1.58372e-71
0.00037 5e-05 6.61525e-72
0.00039 5e-05 2.65913e-72
0.00041 5e-05 1.0297e-72
0.00043 5e-05 3.84498e-73
0.00045 5e-05 1.38584e-73
0.00047 5e-05 4.82585e-74
0.00049 5e-05 1.62506e-74
0.00051 5e-05 5.29639e-75
0.00053 5e-05 1.67212e-75
0.00055 5e-05 5.11775e-76
0.00057 5e-05 1.51969e-76
0.00059 5e-05 4.38146e-77
0.00061 5e-05 1.22738e-77
0.00063 5e-05 3.34299e-78
0.00065 5e-05 8.85878e-79
0.00067 5e-05 2.28545e-79
0.00069 5e-05 5.74375e-80
0.00071 5e-05 1.40701e-80
0.00073 5e-05 3.36144e-81
0.00075 5e-05 7.83637e-82
0.00077 5e-05 1.78358e-82
0.00079 5e-05 3.96532e-83
0.00081 5e-05 8.61553e-84
0.00083 5e-05 1.83024e-84
0.00085 5e-05 3.80321e-85
0.00087 5e-05 7.73392e-86
0.00089 5e-05 1.53971e-86
0.00091 5e-05 3.00221e-87
0.00093 5e-05 5.73558e-88
0.00095 5e-05 1.07402e-88
0.00097 5e-05 1.97199e-89
0.00099 5e-05 3.55147e-90
0.00101 5e-05 6.27582e-91
0.00103 5e-05 1.08851e-91
0.00105 5e-05 1.8537e-92
0.00107 5e-05 3.1004e-93
0.00109 5e-05 5.09453e-94
0.00111 5e-05 8.22662e-95
0.00113 5e-05 1.30585e-95
0.00115 5e-05 2.03816e-96
0.00117 5e-05 3.12876e-97
0.00119 5e-05 4.72504e-98
0.00121 5e-05 7.02178e-99
0.00123 5e-05 1.02708e-99
0.00125 5e-05 1.47903e-100
0.00127 5e-05 2.09732e-101
0.00129 5e-05 2.92931e-102
0.00131 5e-05 4.03065e-103
0.00133 5e-05 5.4649e-104
0.00135 5e-05 7.30259e-105
0.00137 5e-05 9.61938e-106
0.00139 5e-05 1.24933e-106
0.00141 5e-05 1.6001e-107
0.00143 5e-05 2.02134e-108
0.00145 5e-05 2.51902e-109
0.00147 5e-05 3.09743e-110
0.00149 5e-05 3.75856e-111
0.00151 5e-05 4.50158e-112
0.00153 5e-05 5.32233e-113
0.00155 5e-05 6.21302e-114
0.00157 5e-05 7.16201e-115
0.00159 5e-05 8.15386e-116
0.00161 5e-05 9.16965e-117
0.00163 5e-05 1.01875e-117
0.00165 5e-05 1.11832e-118
0.00167 5e-05 1.21314e-119
0.00169 5e-05 1.30065e-120
0.00171 5e-05 1.37839e-121
0.00173 5e-05 1.44411e-122
0.00175 5e-05 1.4959e-123
0.00177 5e-05 1.53226e-124
0.00179 5e-05 1.55218e-125
0.00181 5e-05 1.55519e-126
0.00183 5e-05 1.54137e-127
0.00185 5e-05 1.51133e-128
0.00187 5e-05 1.4662e-129
0.00189 5e-05 1.40752e-130
0.00191 5e-05 1.33718e-131
0.00193 5e-05 1.25732e-132
0.00195 5e-05 1.17022e-133
0.00197 5e-05 1.079e-134
0.00199 5e-05 1.0733e-135
1e-05 7e-05 4.65873e-67
3e-05 7e-05 4.40909e-67
5e-05 7e-05 3.94992e-67
7e-05 7e-05 3.35068e-67
9e-05 7e-05 2.69278e-67
0.00011 7e-05 2.05151e-67
0.00013 7e-05 1.48281e-67
0.00015 7e-05 1.01771e-67
0.00017 7e-05 6.63905e-68
0.00019 7e-05 4.12089e-68
0.00021 7e-05 2.43643e-68
0.00023 7e-05 1.3737e-68
0.00025 7e-05 7.39443e-69
0.00027 7e-05 3.80455e-69
0.00029 7e-05 1.87325e-69
0.00031 7e-05 8.83666e-70
0.00033 7e-05 3.9983e-70
0.00035 7e-05 1.73719e-70
0.00037 7e-05 7.25573e-71
0.00039 7e-05 2.91635e-71
0.00041 7e-05 1.12921e-71
0.00043 7e-05 4.21622e-72
0.00045 7e-05 1.51952e-72
0.00047 7e-05 5.29094e-73
0.00049 7e-05 1.78153e-73
0.00051 7e-05 5.80587e-74
0.00053 7e-05 1.83281e-74
0.00055 7e-05 5.60912e-75
0.00057 7e-05 1.66547e-75
0.00059 7e-05 4.80134e-76
0.00061 7e-05 1.34489e-76
0.00063 7e-05 3.66276e-77
0.00065 7e-05 9.70539e-78
0.00067 7e-05 2.50367e-78
